"SA1_CODE11","median_time_to_acute_care","min_time_to_acute_care","max_time_to_acute_care","median_time_to_rehab_care","min_time_to_rehab_care","max_time_to_rehab_care"
30101100101,66.4040046997358,65.475730593768,67.9479065096729,38.609066849038,38.1687621037812,39.3411666220518
30101100102,63.9858077612114,63.4998499029739,64.5306182517601,37.535268593016,37.3328637236633,37.7696500481597
30101100103,65.307995982897,64.1351857985627,66.7609124115922,38.1908367359708,37.6360983352362,38.8052071235022
30101100104,73.1317848986236,72.7188435654992,73.8403337532304,42.1000611827838,41.864474531485,42.4249420355549
30101100105,70.2967770994199,69.6641395852174,73.2218996510592,40.5385453130399,40.2517553300046,41.9182978077522
30101100106,70.2979806291142,69.9604594659091,70.6355017923192,40.7579155003218,40.5822229364302,40.9336080642133
30101100107,70.6739954371081,70.6085353288343,70.7394555453819,40.89531396586,40.8792333810613,40.9113945506587
30101100108,71.9805182626571,71.3018793180843,72.2759868621709,41.5045873728657,41.180458165711,41.6966948487242
30101100109,68.1358132886114,67.6807607379639,69.3831368696517,39.5317561175056,39.3008699823764,40.1531591097729
30101100110,69.6175647640351,69.3271379920337,69.8225182024502,40.3672379191672,40.1791784522765,40.4476742209997
30101100111,68.5212394547266,67.6515970845456,69.1236107268418,39.7984384154475,39.3383596953609,40.1401904028652
30101100112,66.3540896074702,66.2856316777393,66.4225475372011,38.6102931583472,38.5725571740146,38.6480291426798
30101100113,66.3878562502654,66.2632024707446,66.5125100297863,38.6423162585423,38.580481074562,38.7041514425226
30101100114,67.5114269881088,67.0979209813299,68.2311982660737,39.2305323405494,39.0169477970073,39.6143398547408
30101100115,66.5461267451702,66.0238995675325,67.055291873813,38.7510576196991,38.4877352426344,39.0292053680724
30101100116,65.296289156141,64.7907456599139,65.6393107273441,38.070929507549,37.7995479171316,38.2497505711234
30101100117,63.4676702730264,63.2989664299848,64.121483501136,37.101115383263,37.0105302455303,37.4517508649644
30101100118,64.2266053833313,63.6819425634379,64.332159975236,37.5207816064247,37.2214832904966,37.58365247141
30101100119,65.2363167070892,64.6141078147982,65.3535151991873,38.0636403228621,37.7291444661947,38.1414702949783
30101100120,62.0416326718573,61.7136869063578,62.7971863373582,36.3713533195806,36.2105304297488,36.7520002911582
30101100121,61.622024048798,60.3399067290889,62.8549513924118,36.1799445107392,35.5586607273314,36.7991287841984
30101100122,61.7187894413497,61.0540333774246,61.8471111891477,36.2635506168134,35.9270238606867,36.3482444378543
30101100123,64.5741257937943,63.7052836449312,65.1525864085218,37.6839912666753,37.2347002446051,37.9851986960734
30101100124,63.8717562378194,63.5469041528704,64.1966083227684,37.3257161876902,37.1586440563324,37.492788319048
30101100125,66.1647395464295,65.9188549283978,66.5567723916779,38.5008043457279,38.3781966866752,38.6970316507017
30101100126,65.1209644398969,64.7364308795541,65.7185181453829,37.9639030019696,37.7692688533016,38.267866888557
30101100127,65.3316206353515,65.1009229542415,65.5623183164615,38.0710145048974,37.9550349686367,38.1869940411582
30101100128,66.5155558939184,66.0464395914798,66.7676092322197,38.6626354156945,38.4295649869254,38.7967550383862
30101100129,65.7016547590554,65.1912525421754,66.0878035867685,38.2595692543305,38.0045606625848,38.4486853782317
30101100130,68.5207888438675,67.9155295572653,69.3604863805807,39.6404969721129,39.3445066119738,40.0656485327404
30101100131,67.2013836539807,66.4980023033077,67.534677612316,38.9999147803729,38.6500229005504,39.169758150313
30101100132,68.823978272084,68.4131417364643,69.2348148077036,39.8095168871552,39.6005450237699,40.0184887505404
30101100133,67.9144287291868,67.2443003054013,68.9221588690045,39.3782502504375,39.0391015793947,39.8696579647357
30101100134,63.6806647391603,63.1613558486174,64.2878333828564,37.2423733241004,36.9754192834525,37.5465753015961
30101100135,64.7054029235553,64.6350926605795,65.3935977872272,37.7781845603579,37.7298060291565,38.1144901513449
30101100136,62.5654984428146,62.2422825515401,63.465097701929,36.7104889596954,36.5298017600014,37.1513164581806
30101100137,65.1481030354659,64.0205771323698,65.4472972708735,38.0056521806365,37.4490227667042,38.1460283629006
30101100138,63.9788944909755,63.410096909075,64.3751104984133,37.4422380272703,37.1886914339698,37.6346452456603
30101100139,64.1851384963564,63.919277019304,64.7162835898671,37.5571120753884,37.4417650078652,37.8113841402318
30101100140,63.0908521431375,62.6846347101356,63.7086620991612,37.0916426138914,36.9048911168692,37.3776781656934
30101100141,65.3705311870294,65.0142326360663,65.9210044672127,38.1438733103691,37.9641245569588,38.4031265840564
30101100142,66.9062990288933,66.5069795570715,68.0264072833218,38.8595319152555,38.6640042842582,39.3782841226187
30101100143,70.1333465827784,68.2891784032925,70.2657687529958,40.3374524778043,39.5111550967193,40.3992544988944
30101100144,62.0841458329357,62.0841458329357,62.0841458329357,36.5165399868938,36.5165399868938,36.5165399868938
30101100145,72.1412759516549,70.9974952859731,73.6494794062779,41.5115762225423,40.9536079623153,42.2491264057917
30101100201,53.5006003743723,52.8659723192717,54.573563389506,31.3576905632189,31.1519183857013,32.0944506052381
30101100202,50.3264886109848,50.1383705407708,51.691930001349,29.4512436731446,29.1678432344171,30.198613541091
30101100203,47.9684703177903,46.6848959736512,51.6894009742797,27.7625644214572,27.0880614345749,30.5719321773277
30101100204,44.1241114495226,42.7168338108774,45.3166494019797,24.9172303706138,24.0852801878204,25.5687491081528
30101100205,49.5169867802164,48.8560621667555,52.8359265842839,28.6380354269536,28.2611261349656,30.8210713047646
30101100206,56.8009041713462,54.3342911224444,58.0496402661624,33.2398289835266,31.6620485005812,34.0509828055747
30101100207,52.7499294351821,52.6479547307943,52.85190413957,30.6691364501409,30.5717260377742,30.7665468625075
30101100208,48.1311274949057,47.3824197312128,48.98403390192,27.5214592169028,27.0483815680119,28.0919643489311
30101100209,50.3110356254338,49.9164273257924,50.6222912260145,29.0449830531512,28.8379969045396,29.2059682303742
30101100210,46.7822365711029,46.5325700131904,47.1473741237145,26.779817752862,26.6907529477033,26.9532626499805
30101100211,43.8116847159872,43.8116847159872,43.8116847159872,25.2170645180216,25.2170645180216,25.2170645180216
30101100212,43.3019460422752,43.3019460422752,43.3019460422752,24.1929337973918,24.1929337973918,24.1929337973918
30101100213,43.153009018764,42.9644820470003,43.444297444604,24.0409353302817,23.8511710568326,24.2020191830038
30101100214,43.4036824299779,43.3439701547688,43.4633947051869,24.1149698326238,24.0731429067908,24.1567967584568
30101100215,42.8948852967965,42.5222243156751,43.1897766685771,23.7321477641735,23.4661697229163,23.9576124962695
30101100216,42.6816051194082,42.3007118370808,42.9321987612346,23.5085724960499,23.2245612562793,23.6652974329432
30101100217,55.4272381890019,54.8988266337922,57.5480556901025,32.4863211299522,32.1253173210264,33.7591873309281
30101100218,43.1161392347287,42.7892834525153,43.5215414325962,23.8435611559611,23.6006609363528,24.138815955239
30101100219,44.1312006290442,43.8360901040041,44.5769899252874,24.7212517919754,24.5057732083244,24.9849714419651
30101100220,43.8857771010212,43.8195843649827,43.8955172523259,24.4370765303943,24.4208364333181,24.5033901966679
30101100221,44.9389779890533,44.3800071115822,45.2242709325275,25.2259844363097,24.8206741601088,25.4044579853309
30101100301,66.9029640694579,66.2845108026553,67.2952997777301,39.5649825627515,39.1478128470795,39.7571617381731
30101100302,65.7019236373154,64.6554111830882,65.9112130809897,38.6723418880432,38.0281499598881,38.8304263500337
30101100303,67.1144716704973,65.7190598635339,67.7029763084867,39.3973445358279,38.5911046734519,39.7419902184846
30101100304,68.8543274162398,68.188735472322,69.782065290857,40.404431963087,40.0262736265181,40.9635791244582
30101100305,64.6288616994471,63.9627581976865,65.1125018328999,37.941991919817,37.5443857160741,38.2415336264712
30101100306,63.0780979718679,62.632431272066,63.3748336012387,37.0285857019275,36.7804343369131,37.2361902471674
30101100307,63.2317028439457,62.1851435858453,63.9002242608009,37.0748677549625,36.4720298553091,37.4770268366166
30101100308,61.6829349145983,61.2194748472756,62.146394981921,36.158343606435,35.8926983490666,36.4239888638034
30101100309,61.468283772946,61.0442603588534,61.5582735702678,36.0639558877941,35.7982816201862,36.1033156370955
30101100310,60.0535265218603,58.5788645209427,61.4705891425419,35.2268227062277,34.3297508072293,36.0834050828993
30101100311,63.8333454222718,63.096888201245,64.4105305555428,37.3562239731399,36.9358416684695,37.6821661534102
30101100312,66.8490434293493,66.7117311640515,66.9863556946471,39.0767986508602,38.9830671463417,39.1705301553786
30101100313,65.991151520538,65.5734727534468,66.3001387406088,38.5896862536151,38.3714977461825,38.7914738711949
30101100314,65.3130362893852,65.0270530029153,66.3192164608166,38.1873396311346,38.0180539065215,38.7372477218
30101100315,65.6791718916262,64.9772211344539,66.1985257536854,38.3598505900098,37.971795283526,38.6401586830958
30101100316,64.602056593137,63.9864859248726,65.0860234071419,37.8398149329307,37.4662513464397,38.1106713109416
30101100317,65.5163949213703,65.2847569423079,65.9841688201714,38.6730233958928,38.541929684256,38.9616002082748
30101100318,65.1613569134716,64.4644367280238,65.7027338913782,38.0512446287864,37.6669050047409,38.3528865763786
30101100319,63.3507705215405,63.2088387232417,63.843541926626,37.0502932782457,36.979391913247,37.3309156996323
30101100320,62.2314996441462,61.6292721110642,62.7076353241004,36.4318097134972,36.0918284472696,36.7013196751074
30101100321,65.2172639954684,64.5332003691469,65.455261090982,38.2344541771567,37.8272359276621,38.3792154626994
30101100322,66.2625822044845,65.8475999498454,66.6491495636226,38.8408405910767,38.6213343624396,39.085620420303
30101100323,66.9461581978097,66.142293389906,67.6452004345741,39.1850528917228,38.7396530827394,39.6459316542785
30101100324,68.8529315876121,68.1596944845606,69.6124689458289,40.2364660717259,39.7939367564908,40.6921471255951
30101100325,67.8548330253543,67.5230474757375,68.3205808622884,39.7030586471374,39.443149554525,39.9478795776405
30101100326,59.873532536984,58.7996342415677,60.9474308324003,35.0723213785017,34.4394143486961,35.7052284083072
30101100327,67.8474334801216,66.9828355092105,68.2101966792218,39.5179436942124,39.1082609201065,39.6503410140521
30101100328,66.6170981734199,66.399609893536,66.8345864533039,39.101503581754,38.9788126402019,39.2241945233061
30101100329,70.0980161226386,69.9317162268896,70.3002902793256,41.4021316826886,41.3776184451863,41.5247848678945
30101100330,69.438215623082,69.3312225888105,69.8503716625526,40.9220830747689,40.9108630577355,41.203372820073
30101100331,69.1696780933449,68.7817526693069,69.6168460938256,40.8990141848494,40.706205376038,41.1762395428117
30101100332,69.5859913228808,69.1250411936027,69.916695891957,40.9111918056544,40.6790934869748,41.1404384731428
30101100333,68.6720274447203,68.6263957230214,68.7176591664193,40.3748061864114,40.3653090128561,40.3843033599667
30101100334,67.3929129722169,66.5107885246248,67.8903377903215,39.6156960862112,39.0945490768941,39.9172461454414
30101100335,68.5023295568731,68.0386174776051,68.6851750277136,40.4768658385939,40.15047610165,40.5394098487084
30101100336,66.9215893145262,66.2293166066556,67.4684945482126,39.4013467743431,38.9702390273544,39.736865754616
30101100401,60.8009107890685,60.3966606670129,60.9839322499314,35.6799312079015,35.4639916666144,35.7879622605288
30101100402,61.433650972099,60.963895251536,61.8895915294203,36.0350141964845,35.7941957875317,36.2599904327561
30101100403,55.7967572807387,55.2394174079409,56.6427386002072,32.9087777751673,32.5969404918765,33.3580349036357
30101100404,55.2419847336857,54.8716997078927,55.4187189445924,32.7084701969068,32.4770210109101,32.7835042797689
30101100405,54.4607413114937,54.1332186913487,54.9871548029012,32.2816284117723,32.1307776227636,32.6089523655166
30101100406,62.8549682856827,62.4930466719235,63.3490057087661,36.7702830486388,36.5736806084325,37.0442479453729
30101100407,58.4392324925772,56.468513477996,60.3962748049823,34.3303892920525,33.1782393672922,35.4020531629524
30101100408,60.303398855773,60.015792393346,60.7135806453734,35.3794308263002,35.2226314161521,35.5907829763266
30101100409,61.037381264213,60.9391989958982,61.8167481381614,35.7647379766261,35.7217485924971,36.1992520452544
30101100410,62.0802940424895,61.5925990139073,62.5548800431536,36.3476680364096,36.0823837186526,36.6060908706388
30101100411,59.7051475312393,59.2120371045121,60.0945686922686,35.0760643313818,34.7968641402709,35.2813408419714
30101100412,57.505330265417,56.9682545881307,57.9752079580742,34.3736795995106,34.1146850904526,34.6180767856284
30101100413,58.6848384570132,58.2757388901293,59.3623090032395,34.9309904133376,34.7156550141764,35.2176952288836
30101100414,56.5250256134016,56.1730073710395,56.7645078407989,33.5793491643175,33.4219608185609,33.7460027153089
30101100415,58.9876937393238,58.8864396589671,59.26704642966,35.1840144458274,35.1090330637234,35.2750595503182
30101100416,60.0521318830317,58.7585766470042,60.1298817636392,35.7314127415999,35.1024648893034,35.7444373159423
30101100417,59.716327909566,59.2906543129938,60.630999382354,35.4665837618046,35.2413249589735,35.9437292215775
30101100418,54.2033804947118,53.936320619138,54.4704403702856,32.3542602910617,32.1962951652389,32.5122254168846
30101100419,55.3506115257205,55.068776901509,55.632446149932,33.0180787807626,32.8558725327786,33.1802850287465
30101100420,55.9835651228893,55.3386006049213,56.341522212572,33.4189244137751,33.0804268640917,33.6140179636745
30101100421,56.8138994345955,56.5119970544879,57.1321929729619,33.8198762068108,33.7183075286488,34.0386046827839
30101100422,52.5642956773681,51.4339545078735,54.3108064034573,31.3517022943358,30.6228289593671,32.5045410986019
30101100423,57.8301468805477,57.6330136881559,58.0272800729394,34.206922568033,34.0976191921435,34.3162259439224
30101100424,55.8542046052395,55.7382134476589,55.9701957628201,33.4231113180612,33.3589759653265,33.4872466707959
30101100425,57.152958500243,56.5030024273258,58.0381486101384,34.2542354040752,33.9505927752925,34.7195674714877
30101100426,56.445303036757,55.3831180590959,57.7495269365531,34.1775240869081,33.6689716221827,34.7135564072852
30101100427,62.4013769463049,59.9398070491528,63.9978483348389,36.9386617718581,35.4143830169135,37.7410881236284
30101100428,58.4115354146617,58.1374977198507,58.7911505138529,34.6085036738036,34.4735694042272,34.8013161358347
30101100429,58.9826967568725,58.617844448999,59.347549064746,34.8520380896307,34.6542286981592,35.0498474811022
30101100430,58.607465653674,57.416648971618,59.941069140539,35.3188501228339,34.797206538342,35.8151978217345
30101100431,60.5489584919424,58.4897163641076,62.7528120743097,36.2930966329218,35.4930311665072,37.3376305309222
30101100432,53.2122046133924,52.3136253429013,53.7342778653155,32.32364785907,31.5643000221232,32.605065236626
30101100433,55.415697635317,54.4539995028294,56.7025380097028,33.2910853823454,33.1506529084394,33.9056653406034
30101100434,54.16082203649,53.8617408899017,54.878224723264,32.1837565712804,32.0423827351868,32.6065078126875
30101100435,54.31877996892,53.9652139193969,54.9433586757122,32.3644020655751,32.1427888715386,32.7202621699153
30101100436,55.5575049839953,55.3923629666628,55.6360258266498,33.0554953730201,32.9290825583022,33.1339244117465
30101100437,59.2384492226231,57.619504120955,60.6610863273061,34.9012240464102,33.9676557350197,35.6768822484771
30101100438,56.124404358854,55.7867885177264,56.705680199395,33.1745493643472,32.9866161512489,33.4675819579683
30101100439,57.8784642341725,57.4105790759045,58.223809705592,34.4695301656625,34.2065563103105,34.6067527351798
30101100440,58.7738576331096,58.1951409548531,59.2756094111254,34.8761753685064,34.5490321393207,35.1316025292666
30101100441,57.1324784995253,57.0162958589228,57.5826517149379,33.7552423422039,33.623671170761,33.993719088622
30101100442,56.0059146316701,55.4702479487628,56.8418281270223,33.1961762114036,32.8764005036736,33.7123755205687
30101100443,57.1303779001383,56.6427597038466,57.155390879789,33.8022843614103,33.525402651876,33.8402408170803
30101100444,57.587880641497,57.3238242004919,57.7717749888368,34.1728387598929,33.9952484053749,34.2230786753937
30101100501,62.5615132369305,62.2633450099983,63.1353613489532,36.9423084560897,36.7626344808839,37.3121288743748
30101100502,62.7929757175366,62.3829138057826,63.5568971108515,37.0434800383524,36.7987377889675,37.5440353034512
30101100503,64.4288671156674,63.9970791302939,64.4708460707125,38.0064181558462,37.7692842255445,38.0805130696035
30101100504,64.8774633762187,64.5390521831316,65.0965177240134,38.2578773768138,37.9934778274026,38.3419132441062
30101100505,63.6108533169879,63.4064421720241,64.2352974182329,37.4657398165898,37.4009980431317,37.8398106780671
30101100506,62.7493423656613,62.5512937346628,62.9473909966599,36.9727741849254,36.8592259960344,37.0863223738164
30101100507,61.6215876474798,61.0402333697137,61.6856128380157,36.2280500700635,35.877984985334,36.2960686868756
30101100508,62.5478260120857,62.3293839149849,62.7423652750101,36.8063939072038,36.6966703637517,36.9104975349635
30101100509,62.8452138380512,62.6216385341164,63.709982503169,36.9481461159974,36.8245319370154,37.4749472876917
30101100510,60.8837814193723,59.2829459009684,62.1431377695229,35.8201762899063,34.7947291823845,36.6182767674645
30101100601,71.0829299386728,70.5086685030979,71.408446467607,41.9810899089889,41.6685542510402,42.2955670608756
30101100602,70.0412979571156,70.0412979571156,70.0412979571156,40.7965307900311,40.7965307900311,40.7965307900311
30101100603,73.7555190401474,73.6527884525484,73.8582496277464,42.7161069291793,42.6346228678345,42.797590990524
30101100604,73.6684281464151,73.0611969343681,74.681615771879,43.7768512183391,43.3998616599708,45.0521122485959
30101100605,73.9601400497078,73.8040606873196,74.0574937287135,43.7431360986631,43.7145706977675,44.0137693890595
30101100606,73.2953106800632,70.8682056322047,73.6180683180945,43.0959997415038,41.7071644478467,43.4639786755932
30101100607,74.3603909931146,74.0549833668609,74.5885002601147,43.7625168466057,43.6184126121158,43.9995077522929
30101100608,74.7150392796752,74.2104373732343,75.1104865244114,43.8050091452184,43.5505471384897,44.1573291352124
30101100609,73.6339241683368,73.0402329123768,74.4709618578269,42.7964761794198,42.4474277533682,43.2854059163284
30101100610,72.6679660692069,72.4455356320198,72.8897643426834,42.1651316562399,42.0159420824123,42.315773460027
30101100611,73.0915724710367,72.7451180211138,73.2641970241455,42.8091764840663,42.5916978004529,42.916740646978
30101100612,74.3468261056824,73.6635872646199,75.4580234931819,43.493960529833,43.0605984487353,44.0626915006272
30101100613,74.1424221489784,73.3485189458451,74.8990498246431,43.1710189574653,42.8109858027017,43.6354697940134
30101100614,71.7292270682684,70.5425128191324,72.6804357307922,41.9359291806353,41.2914660136453,42.4615216696511
30101100615,72.8837629365154,71.8315467351945,74.4410460479273,42.1884215691256,41.62416116462,42.9878888312486
30101100616,70.1911270443221,69.7278014994845,71.0123614777478,40.7843490770802,40.4894771623353,41.2405630835693
30101100617,71.6451507169864,71.0300795351699,72.2812757173051,41.4415688209077,41.1503350641915,41.7716952989352
30101100618,75.7389934094751,74.9898765946826,76.7523212233433,43.8882696968235,43.3099156797944,44.2946693368269
30101100619,71.1640178033277,70.398964382056,71.7445661376843,41.4217177023347,41.0907694677065,41.7675565073798
30101100620,70.0825862603578,69.5055896842332,70.4727999420909,40.8877158608732,40.5515179515481,41.0658925290786
30101100621,71.7221215609244,70.5644489600422,72.3514784622886,42.0578262848921,41.3803544175995,42.3789733371663
30101100622,72.3100543217197,71.9148697861131,72.8647628503095,42.8249013909443,42.5178656677855,43.1535337707734
30101100623,72.902956247511,71.8622120844191,73.5621055483386,43.1121192870118,42.413660804283,43.4700512542926
30101100624,76.7450382264191,74.3961977229847,80.6684140757029,44.897394161697,44.2475006129006,47.6170370910611
30102100701,84.3531990361323,84.0655745308179,84.6403982781404,46.1170558205894,45.9258805062458,46.17877336458
30102100702,83.0835538510622,82.5908215478108,83.5762861543137,45.5923021944982,45.3879344203157,45.7966699686808
30102100703,80.8358710289955,79.9530531429928,81.2029553915163,44.7139817276756,44.3704218697521,44.8968813951334
30102100704,77.8730098663603,75.8223049586629,79.4999058719938,43.5741351512683,42.724138570925,44.1958619055664
30102100705,79.332794141464,78.7260237949723,79.937737952285,44.2489147838701,43.9623117795621,44.5128378075041
30102100706,77.0212592570405,75.981367402811,77.9707695575621,43.3143705648104,42.8585910684498,43.7086198379881
30102100707,80.5854405406575,80.0834212150636,80.7181654774956,44.8775366594945,44.6697929918498,45.0479937213397
30102100708,78.8263927597467,78.4990142789359,79.7022646427808,44.1595462157891,43.9734124553828,44.5118525439822
30102100709,81.1978703028421,80.9380438171189,81.7040671164353,44.9739729189716,44.8811629270691,45.224924087961
30102100710,84.5670178818021,82.6542332742563,86.5343694907389,46.506801434082,45.5583736999932,47.3484619447106
30102100711,81.9669688497538,81.0469842555401,82.3520471850939,45.4924910465556,45.067987473524,45.5951546475354
30102100712,77.0230419666709,76.5483557760496,77.1941069699466,43.3798984600875,43.2236318497756,43.4917623251168
30102100713,75.1184679149745,73.1412019423581,76.2084209299118,42.6862853737983,41.7075319185193,43.1282858373678
