"SA1_CODE16","time_to_acute_care","time_to_rehab_care"
30101100101,53.4793547135134,38.609066849038
30101100102,52.3878806461192,37.535268593016
30101100103,53.4835640164828,38.1908367359708
30101100104,57.1217142484263,42.1000611827838
30101100105,55.5818987176106,40.5385453130399
30101100106,54.9207229805887,40.7579155003218
30101100107,55.3299716185819,40.89531396586
30101100108,56.3645557984876,41.5045873728657
30101100109,53.7874520756646,39.5317561175056
30101100110,54.5440491006988,40.3672379191672
30101100111,53.7658866567992,39.7984384154475
30101100112,52.5920040825598,38.6102931583472
30101100113,52.483321275797,38.6423162585423
30101100114,53.2465078801499,39.2305323405494
30101100115,52.4139279933161,38.7510576196991
30101100116,51.5904927132905,38.070929507549
30101100117,50.327632702862,37.101115383263
30101100118,50.5731387922687,37.5207816064247
30101100119,51.3674231227797,38.0636403228621
30101100120,49.8970478166637,36.3713533195806
30101100121,49.7787975381719,36.1383981789827
30101100122,50.0708694966803,36.2635506168134
30101100123,51.4940747869391,37.6839912666753
30101100124,51.2038557387803,37.3257161876902
30101100125,52.6052059336736,38.5008043457279
30101100126,51.9851613446555,37.9639030019696
30101100127,52.3159474624856,38.0710145048974
30101100128,53.1274249581536,38.6626354156945
30101100129,52.7593465345381,38.2595692543305
30101100130,54.6280843596298,39.6404969721129
30101100131,53.6427091010137,38.9999147803729
30101100132,54.6344868911425,39.8095168871552
30101100133,53.8972034911282,39.3782502504375
30101100134,51.2598483105844,37.2423733241004
30101100135,52.1236901484122,37.7781845603579
30101100136,50.7476100069299,36.7104889596954
30101100137,52.649361184241,38.0056521806365
30101100138,51.9038273927711,37.4422380272703
30101100139,52.2530876532022,37.5571120753884
30101100140,51.6649167004967,37.0916426138914
30101100141,53.0729195263871,38.1438733103691
30101100142,54.0538102216323,38.8595319152555
30101100143,56.2114934693616,40.3374524778043
30101100144,50.6684681132714,36.5165399868938
30101100145,56.6407375636166,41.5115762225423
30101100201,42.9399776565203,31.3576905632189
30101100202,40.5407600083558,29.4512436731446
30101100203,38.3748301157703,27.7625644214572
30101100204,34.0524445517804,24.9172303706138
30101100205,38.65425304076,28.6380354269536
30101100206,42.5001484580408,33.2398289835266
30101100207,40.793907854287,30.6691364501409
30101100208,36.5734306113282,27.5214592169028
30101100209,38.6094240054362,29.0449830531512
30101100210,36.3242623988321,26.779817752862
30101100211,35.7704719390595,25.2170645180216
30101100212,32.676473455369,24.1929337973918
30101100213,32.284063226406,24.0409353302817
30101100214,31.9004334008605,24.1149698326238
30101100215,31.4438248415885,23.7321477641735
30101100216,30.7050092913578,23.5085724960499
30101100217,43.9412312758853,32.4863211299522
30101100218,31.2402725927809,23.8435611559611
30101100219,33.0181509140442,24.7212517919754
30101100220,32.2980274075677,24.4370765303943
30101100221,33.2907724249502,25.2259844363097
30101100301,50.7805237305849,39.5649825627515
30101100302,50.2532147753771,38.6723418880432
30101100303,51.6025171525545,39.3973445358279
30101100304,52.9193640655707,40.404431963087
30101100305,49.7504316184256,37.941991919817
30101100306,48.5575702449518,37.0285857019275
30101100307,48.9283349416075,37.0748677549625
30101100308,47.8067842963593,36.158343606435
30101100309,47.3434097622041,36.0639558877941
30101100310,46.0951703773546,35.2268227062277
30101100311,49.8680896445263,37.3562239731399
30101100312,51.9144372498854,39.0767986508602
30101100313,51.3103255722541,38.5896862536151
30101100314,50.9479842269753,38.1873396311346
30101100315,51.3482092854815,38.3598505900098
30101100316,50.1138379859875,37.8398149329307
30101100317,49.81114179449,38.6730233958928
30101100318,51.1172463443889,38.0512446287864
30101100319,49.8731545736907,37.0502932782457
30101100320,48.9279796144251,36.4318097134972
30101100321,50.3519514919886,38.2344541771567
30101100322,51.1567491759277,38.8408405910767
30101100323,51.8080879953693,39.1850528917228
30101100324,53.259013999601,40.2364660717259
30101100325,52.4969791524453,39.7030586471374
30101100326,46.6652684085494,35.0723213785017
30101100327,53.0078316837027,39.5179436942124
30101100328,51.2531687815023,39.101503581754
30101100329,53.3910413603194,41.4021316826886
30101100330,53.0136208320404,40.9220830747689
30101100331,52.5910447533379,40.8990141848494
30101100332,53.2878556968583,40.9111918056544
30101100333,52.6127978713257,40.3748061864114
30101100334,51.6781447772721,39.6156960862112
30101100335,52.1084466650136,40.4768658385939
30101100336,51.1742449255838,39.4013467743431
30101100401,48.7427216450613,35.6799312079015
30101100402,49.3251824846616,36.0350141964845
30101100403,45.1814797667849,32.9087777751673
30101100404,45.2152916813329,32.7084701969068
30101100405,44.6823061995772,32.2816284117723
30101100406,49.8363558194318,36.7702830486388
30101100407,46.7267909439227,34.3303892920525
30101100408,48.1302896707206,35.3794308263002
30101100409,48.5885153160004,35.7647379766261
30101100410,49.223097135195,36.3476680364096
30101100411,47.9213753569726,35.0760643313818
30101100412,48.0916968339727,34.3736795995106
30101100413,48.7745229607381,34.9309904133376
30101100414,46.6660070413789,33.5793491643175
30101100415,49.2442731803853,35.1840144458274
30101100416,50.0026826720014,35.7314127415999
30101100417,49.520822512419,35.4665837618046
30101100418,45.190526984573,32.3542602910617
30101100419,46.0693768665885,33.0180787807626
30101100420,46.6586458826962,33.4189244137751
30101100421,47.1767177379584,33.8198762068108
30101100422,43.8512893035503,31.3517022943358
30101100423,47.3186785856038,34.206922568033
30101100424,46.7544941768882,33.4231113180612
30101100425,48.0609351364443,34.2542354040752
30101100426,48.0804564446721,34.1775240869081
30101100427,51.8030519863842,36.9386617718581
30101100428,48.0399700763485,34.6085036738036
30101100429,48.234532668283,34.8520380896307
30101100430,49.5456606983616,35.3188501228339
30101100431,51.0846451199704,36.2930966329218
