"SA1_MAIN16","SA1_NAME16"
"39999949999","No usual address (Qld)"
"31802148912","Townsville - South"
"31503140809","Barcaldine - Blackall"
"31503140808","Barcaldine - Blackall"
"31503140810","Barcaldine - Blackall"
"30605116609","Atherton"
"30605116603","Atherton"
"30605116604","Atherton"
"30605116615","Atherton"
"30605116912","Malanda - Yungaburra"
"30605116618","Atherton"
"30605116622","Atherton"
"30605116623","Atherton"
"30605116624","Atherton"
"30605116616","Atherton"
"30605116625","Atherton"
"30605116626","Atherton"
"30605116619","Atherton"
"30605116617","Atherton"
"30605116914","Malanda - Yungaburra"
"30605116921","Malanda - Yungaburra"
"30605116916","Malanda - Yungaburra"
"30605116913","Malanda - Yungaburra"
"30605116928","Malanda - Yungaburra"
"30605116926","Malanda - Yungaburra"
"30605116927","Malanda - Yungaburra"
"30605116627","Atherton"
"30605116612","Atherton"
"30605116614","Atherton"
"30605116613","Atherton"
"30605116601","Atherton"
"30605116610","Atherton"
"30605116611","Atherton"
"30605116608","Atherton"
"30605116607","Atherton"
"30605116602","Atherton"
"30605116605","Atherton"
"30605116606","Atherton"
"30605116620","Atherton"
"31501139502","Aurukun"
"31501139501","Aurukun"
"31501140217","Torres Strait Islands"
"31501140102","Torres"
"30701117108","Balonne"
"30701117109","Balonne"
"30701117110","Balonne"
"30701117111","Balonne"
"30701117112","Balonne"
"30701117113","Balonne"
"30701117114","Balonne"
"30701117102","Balonne"
"30701117104","Balonne"
"31501139909","Northern Peninsula"
"30804152807","Banana"
"30804152816","Banana"
"30804152827","Banana"
"30804152801","Banana"
"30804152810","Banana"
"30804152818","Banana"
"30804152804","Banana"
"30804152812","Banana"
"30804152826","Banana"
"30804152813","Banana"
"30804152821","Banana"
"30804152908","Biloela"
"30804152901","Biloela"
"30804152916","Biloela"
"30804152915","Biloela"
"30804152902","Biloela"
"30804152917","Biloela"
"30804152909","Biloela"
"30804152920","Biloela"
"30804152912","Biloela"
"30804152913","Biloela"
"30804152911","Biloela"
"30804152914","Biloela"
"30804152904","Biloela"
"30804152910","Biloela"
"30804152905","Biloela"
"30804152906","Biloela"
"30804152918","Biloela"
"30804152903","Biloela"
"30804152831","Banana"
"30804152822","Banana"
"30804152825","Banana"
"30804152832","Banana"
"30804152829","Banana"
"30804152828","Banana"
"30804152824","Banana"
"30804152808","Banana"
"30804152805","Banana"
"30804152811","Banana"
"30804152815","Banana"
"30804152820","Banana"
"30804152823","Banana"
"30804152802","Banana"
"30804152830","Banana"
"30804152814","Banana"
"30804152907","Biloela"
"31503140804","Barcaldine - Blackall"
"31503140805","Barcaldine - Blackall"
"31503140803","Barcaldine - Blackall"
"31503140816","Barcaldine - Blackall"
"31503141007","Far Central West"
"30801119108","Central Highlands - West"
"30801119107","Central Highlands - West"
"30801119101","Central Highlands - West"
"30801119113","Central Highlands - West"
"30801119102","Central Highlands - West"
"30801119114","Central Highlands - West"
"30801119111","Central Highlands - West"
"30801119110","Central Highlands - West"
"31104132126","Jimboomba"
"31104132140","Jimboomba"
"31103131808","Munruben - Park Ridge South"
"31104132011","Greenbank"
"31104132020","Greenbank"
"31104132008","Greenbank"
"31104132018","Greenbank"
"31104132025","Greenbank"
"31104132015","Greenbank"
"31104132016","Greenbank"
"31104132019","Greenbank"
"31104132014","Greenbank"
"31104132024","Greenbank"
"31104132026","Greenbank"
"31104132012","Greenbank"
"31104132027","Greenbank"
"31104132028","Greenbank"
"31104132029","Greenbank"
"31104132013","Greenbank"
"31104132002","Greenbank"
"31104132023","Greenbank"
"31104132021","Greenbank"
"31104132006","Greenbank"
"31104132001","Greenbank"
"31103131807","Munruben - Park Ridge South"
"31103131814","Munruben - Park Ridge South"
"31103131803","Munruben - Park Ridge South"
"31103131801","Munruben - Park Ridge South"
"31103131809","Munruben - Park Ridge South"
"31104132007","Greenbank"
"31103131806","Munruben - Park Ridge South"
"31103131811","Munruben - Park Ridge South"
"31103131812","Munruben - Park Ridge South"
"31103131810","Munruben - Park Ridge South"
"31103131813","Munruben - Park Ridge South"
"31103131804","Munruben - Park Ridge South"
"31103131802","Munruben - Park Ridge South"
"31103131805","Munruben - Park Ridge South"
"31103131306","Chambers Flat - Logan Reserve"
